Full Team Name,University,CoverNumber,PomeroyName,TRankName,OldTRankName,UpdatedTRankName,SportsReference,RevisedSportsReference,FanDuel,BracketMatrix,TeamID
Maryland Terrapins,Maryland,,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland Terrapins,Maryland,161
Maryland Eastern Shore Hawks,Maryland Eastern Shore,2174,Maryland Eastern Shore,Maryland Eastern Shore,Maryland Eastern Shore,Maryland Eastern Shore,Maryland-Eastern Shore,Maryland-Eastern Shore,Maryland-Eastern Shore Hawks,Maryland Eastern Shore,162
Massachusetts Minutemen,Massachusetts,,Massachusetts,Massachusetts,Massachusetts,Massachusetts,UMass,Massachusetts,Massachusetts Minutemen,Massachusetts,163
Massachusetts Lowell River Hawks,UMass Lowell,665710,UMass Lowell,UMass Lowell,UMass Lowell,UMass Lowell,UMass-Lowell,Massachusetts-Lowell,UMass Lowell River Hawks,UMass Lowell,164
McNeese St Cowboys,McNeese St.,,McNeese,McNeese St.,McNeese St.,McNeese St.,McNeese State,McNeese State,McNeese Cowboys,McNeese State,165
UMBC Retrievers,UMBC,2411,UMBC,UMBC 16,UMBC,UMBC,UMBC,Maryland-Baltimore County,UMBC Retrievers,UMBC,166
Memphis Tigers,Memphis,2204,Memphis,Memphis,Memphis,Memphis,Memphis,Memphis,Memphis Tigers,Memphis,167
Merrimack Warriors,Merrimack,,Merrimack,Merrimack,Merrimack,Merrimack,Merrimack,Merrimack,Merrimack Warriors,Merrimack,168
Mercer Bears,Mercer,,Mercer,Mercer,Mercer,Mercer,Mercer,Mercer,Mercer Bears,Mercer,169
Miami OH RedHawks,Miami OH,,Miami OH,Miami OH,Miami OH,Miami OH,Miami (OH),Miami (OH),Miami (OH) RedHawks,Miami OH,170
Miami Hurricanes,Miami FL,2494,Miami FL,Miami FL 6,Miami FL,Miami FL,Miami (FL),Miami (FL),Miami Hurricanes,Miami (FLA.),171
Michigan Wolverines,Michigan,2323,Michigan,Michigan 3,Michigan,Michigan,Michigan,Michigan,Michigan Wolverines,Michigan,172
Michigan St Spartans,Michigan St.,2180,Michigan St.,Michigan St. 3,Michigan St.,Michigan St.,Michigan State,Michigan State,Michigan St Spartans,Michigan State,173
