Rank,Team,Conf,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_Rank,Final_Rank,Final_AdjEM,FinalAdjO,Final_AdjO_Rank,AR
212,Lipscomb,ASun,-4.98,102.8,143,107.7,303,66.1,306,213,-4.97,102.7,144,107.6
213,Wyoming,MWC,-5.03,103.9,132,108.9,319,69.9,133,197,-3.59,104.8,108,108.4
214,South Alabama,SB,-5.03,104.0,130,109.1,321,67.4,265,214,-5.03,104.0,131,109.0
215,Iona,MAAC,-5.08,99.3,216,104.4,225,67.2,273,216,-5.06,99.3,218,104.3
216,Charleston,CAA,-5.08,101.2,181,106.2,270,64.6,341,217,-5.09,101.1,181,106.2
217,Illinois Chicago,Horz,-5.12,95.8,289,100.9,149,68.9,192,218,-5.12,95.7,289,100.8
218,Jacksonville St.,OVC,-5.23,98.0,244,103.3,195,66.3,302,219,-5.22,97.9,242,103.2
219,Hawaii,BW,-5.23,99.4,214,104.6,229,72.1,47,220,-5.23,99.3,215,104.5
220,Hartford,AE,-5.39,96.7,271,102.1,169,67.5,259,221,-5.43,96.6,272,102.0
221,Milwaukee,Horz,-5.46,97.7,254,103.1,189,70.2,119,222,-5.46,97.6,254,103.0
222,Eastern Michigan,MAC,-5.48,98.3,236,103.8,206,67.9,237,223,-5.47,98.3,236,103.7
223,Weber St.,BSky,-5.53,98.5,231,104.0,212,71.0,81,224,-5.52,98.4,233,103.9
224,Sacramento St.,BSky,-5.57,96.1,281,101.7,162,65.1,332,215,-5.03,97.0,264,102.0
225,Elon,CAA,-5.59,98.8,225,104.4,219,67.5,257,225,-5.59,98.7,227,104.3
226,New Hampshire,AE,-5.63,97.5,258,103.2,190,67.4,263,226,-5.62,97.4,257,103.1
227,Stetson,ASun,-5.67,99.0,220,104.6,230,69.0,187,227,-5.65,98.9,221,104.5
228,Brown,Ivy,-5.88,95.6,295,101.5,158,70.7,99,228,-5.87,95.5,294,101.4
229,James Madison,CAA,-6.16,100.9,185,107.1,293,71.8,55,229,-6.15,100.9,184,107.0
230,Bellarmine,ASun,-6.19,100.2,205,106.3,273,67.0,281,230,-6.18,100.1,206,106.3
231,Eastern Illinois,OVC,-6.19,100.4,198,106.6,282,70.6,103,231,-6.19,100.4,198,106.6
232,NJIT,AE,-6.26,97.0,265,103.3,197,69.9,138,232,-6.26,96.9,265,103.2
233,VMI,SC,-6.31,102.3,154,108.6,315,71.3,73,238,-6.54,103.8,133,110.4
234,UMass Lowell,AE,-6.38,98.7,227,105.0,248,69.5,156,234,-6.37,98.6,228,105.0
235,UC San Diego,BW,-6.41,98.0,245,104.4,222,70.1,130,235,-6.41,97.9,244,104.3
236,Northern Kentucky,Horz,-6.44,98.9,222,105.3,257,65.4,319,236,-6.43,98.8,224,105.2
237,Niagara,MAAC,-6.48,98.9,221,105.4,259,65.4,321,237,-6.45,98.8,222,105.3
238,Towson,CAA,-6.48,100.6,194,107.1,292,67.1,276,233,-6.31,100.1,204,106.4
239,Robert Morris,Horz,-6.58,98.3,237,104.9,241,68.4,215,239,-6.58,98.2,237,104.8
240,Canisius,MAAC,-6.78,98.5,230,105.3,255,69.3,164,240,-6.76,98.4,231,105.2
241,Central Michigan,MAC,-6.81,100.9,184,107.7,304,73.0,27,241,-6.81,100.8,186,107.7
242,Radford,BSth,-6.88,97.1,263,103.9,210,64.5,343,242,-6.87,97.0,261,103.9
243,Norfolk St.,MEAC,-6.92,98.4,232,105.3,258,67.4,264,243,-6.91,98.4,234,105.3
244,Albany,AE,-6.99,96.7,273,103.6,203,69.2,167,245,-7.01,96.5,273,103.5
245,LIU,NEC,-7.07,96.0,283,103.1,188,74.8,11,246,-7.06,95.9,282,103.0
246,Mount St. Mary's,NEC,-7.07,95.4,300,102.5,177,63.2,352,247,-7.06,95.3,299,102.4
247,Texas Southern,SWAC,-7.11,99.1,218,106.2,269,69.8,143,244,-7.00,99.2,219,106.2
248,Delaware,CAA,-7.20,97.3,259,104.5,227,66.8,286,248,-7.18,97.2,259,104.4
249,Loyola MD,Pat,-7.25,99.9,209,107.2,296,69.0,182,249,-7.24,99.9,209,107.1
250,Oakland,Horz,-7.39,101.4,177,108.8,317,70.9,88,250,-7.38,101.3,176,108.7
251,Southern Miss,CUSA,-7.48,95.7,291,103.2,192,65.3,323,251,-7.48,95.6,291,103.1
252,UMKC,Sum,-7.53,95.7,292,103.2,193,63.9,350,252,-7.53,95.6,292,103.1
253,American,Pat,-7.74,97.6,256,105.3,256,69.8,142,253,-7.73,97.5,255,105.2
254,Middle Tennessee,CUSA,-7.78,90.5,344,98.3,110,72.4,38,254,-7.75,90.4,343,98.1
255,Utah Valley,WAC,-7.88,97.2,260,105.1,250,71.7,58,255,-7.79,97.2,258,105.0
256,Southern,SWAC,-8.08,95.6,294,103.7,204,69.6,150,256,-7.82,95.8,285,103.6
257,North Alabama,ASun,-8.14,94.7,308,102.9,185,73.0,28,258,-8.12,94.6,308,102.8
258,Fordham,A10,-8.14,89.7,348,97.8,100,64.1,348,257,-8.12,89.6,347,97.7
259,Youngstown St.,Horz,-8.21,104.1,127,112.3,346,67.0,280,260,-8.21,104.0,128,112.2
260,North Carolina Central,MEAC,-8.22,96.8,269,105.0,244,67.9,238,259,-8.20,96.7,269,104.9
261,Illinois St.,MVC,-8.24,97.8,250,106.0,263,70.9,89,261,-8.24,97.7,251,105.9
262,Campbell,BSth,-8.35,98.4,233,106.8,285,66.9,282,263,-8.34,98.4,232,106.7
263,Long Beach St.,BW,-8.36,99.4,212,107.8,305,74.1,17,264,-8.36,99.3,213,107.7
264,Stony Brook,AE,-8.36,95.5,297,103.9,207,68.6,206,262,-8.30,95.4,296,103.7
265,Bucknell,Pat,-8.43,95.5,296,104.0,211,72.4,39,266,-8.42,95.5,295,103.9
266,High Point,BSth,-8.45,96.3,280,104.7,236,68.4,218,267,-8.45,96.2,280,104.6
267,Nebraska Omaha,Sum,-8.64,96.4,278,105.0,243,71.3,72,268,-8.55,96.3,277,104.9
268,St. Francis PA,NEC,-8.70,97.8,252,106.5,277,70.1,129,269,-8.69,97.7,252,106.4
269,Georgia Southern,SB,-8.79,96.4,276,105.2,252,67.5,261,270,-8.78,96.3,276,105.1
270,Dartmouth,Ivy,-8.87,95.2,303,104.1,215,67.5,258,271,-8.87,95.1,302,104.0
271,Air Force,MWC,-8.91,98.1,241,107.0,291,62.2,355,294,-10.67,97.0,260,107.7
272,Samford,SC,-8.93,99.3,217,108.2,308,73.9,20,265,-8.39,99.3,217,107.7
273,Idaho St.,BSky,-8.94,97.6,255,106.5,279,65.4,322,277,-9.33,97.9,245,107.2
274,Marist,MAAC,-8.95,93.9,317,102.8,184,66.1,307,273,-8.94,93.8,317,102.8
275,New Mexico,MWC,-9.02,97.1,261,106.1,265,66.7,289,272,-8.90,95.4,297,104.3
276,Central Arkansas,Slnd,-9.06,99.4,215,108.5,312,73.5,22,274,-9.06,99.3,216,108.3
277,Evansville,MVC,-9.23,98.1,240,107.4,298,61.7,356,275,-9.25,98.1,241,107.3
278,Western Michigan,MAC,-9.29,95.4,298,104.7,233,65.6,315,276,-9.28,95.3,298,104.6
